1,knn_basic,0.953340402969247,0.036291356561378385,0.06992099062167258;;;;
2,knn_basic,0.953340402969247,0.06530111884311567,0.12222983968192495;;;;
3,knn_basic,0.953340402969247,0.08884680704650871,0.16254517426090664;;;;
4,knn_basic,0.953340402969247,0.10713108167046063,0.19261694453754682;;;;
5,knn_basic,0.953340402969247,0.12174404997857202,0.21591517084530534;;;;
6,knn_basic,0.953340402969247,0.13444490169855333,0.23565634912047673;;;;
7,knn_basic,0.953340402969247,0.14535857534632013,0.25225508629879656;;;;
8,knn_basic,0.953340402969247,0.1548685202056726,0.2664523166573042;;;;
9,knn_basic,0.953340402969247,0.16341936562185053,0.2790112757580147;;;;
10,knn_basic,0.953340402969247,0.17113291105132244,0.29017659440868443;;;;
1,knn_withmeans,0.8472958642629904,0.031490117277086976,0.06072342229964331;;;;
2,knn_withmeans,0.8472958642629904,0.05916165967123232,0.11060072477484825;;;;
3,knn_withmeans,0.8472958642629904,0.08368576470618662,0.15232653390110068;;;;
4,knn_withmeans,0.8472958642629904,0.10500633042777946,0.1868554540542274;;;;
5,knn_withmeans,0.8472958642629904,0.12398894773357899,0.21632238315974536;;;;
6,knn_withmeans,0.8472958642629904,0.1413473891253878,0.2422776017938697;;;;
7,knn_withmeans,0.8472958642629904,0.15739699666639848,0.2654777982586421;;;;
8,knn_withmeans,0.8472958642629904,0.17171254281457782,0.28555471448195513;;;;
9,knn_withmeans,0.8472958642629904,0.18495475472797618,0.3036305251334732;;;;
10,knn_withmeans,0.8472958642629904,0.19660437070238684,0.31915323823580743;;;;
1,knn_withzscore,0.8663838812301167,0.03254472760336047,0.06273296263463252;;;;
2,knn_withzscore,0.8663838812301167,0.06000974703053671,0.11224489451977396;;;;
3,knn_withzscore,0.8663838812301167,0.08386716343502561,0.15293044711190604;;;;
4,knn_withzscore,0.8663838812301167,0.10448473592950057,0.1864802084317899;;;;
5,knn_withzscore,0.8663838812301167,0.12325819257946664,0.21581319975479274;;;;
6,knn_withzscore,0.8663838812301167,0.1401446255659688,0.24126300211382687;;;;
7,knn_withzscore,0.8663838812301167,0.15570861170936223,0.26397499695108023;;;;
8,knn_withzscore,0.8663838812301167,0.169766981701028,0.2839034001183532;;;;
9,knn_withzscore,0.8663838812301167,0.18255047907951988,0.30156089564774;;;;
10,knn_withzscore,0.8663838812301167,0.19401749178084352,0.3170377403007796;;;;
1,knn_baseline,0.9183457051961824,0.03522586963873832,0.06784918289984929;;;;
2,knn_baseline,0.9183457051961824,0.06515717143572568,0.12168100362989573;;;;
3,knn_baseline,0.9183457051961824,0.09101405855722579,0.16561462580535707;;;;
4,knn_baseline,0.9183457051961824,0.11189491573139962,0.19948391319049474;;;;
5,knn_baseline,0.9183457051961824,0.12967521630229795,0.22726011574526372;;;;
6,knn_baseline,0.9183457051961824,0.1448247211860599,0.250193491856282;;;;
7,knn_baseline,0.9183457051961824,0.15786439573902042,0.26941596200284806;;;;
8,knn_baseline,0.9183457051961824,0.1693881305942623,0.28602008528935635;;;;
9,knn_baseline,0.9183457051961824,0.17925207563208492,0.2999557336568313;;;;
10,knn_baseline,0.9183457051961824,0.1880854853851853,0.31222456341359217;;;;
1;knn_basic;0.9384941675503712;0.03493410021414457;0.06736079151448283
2;knn_basic;0.9384941675503712;0.06470194452290938;0.12105788057416741
3;knn_basic;0.9384941675503712;0.08841682923332926;0.16160831621954977
4;knn_basic;0.9384941675503712;0.10794992503383669;0.1936278789277088
5;knn_basic;0.9384941675503712;0.12326832836420938;0.21791428433125132
6;knn_basic;0.9384941675503712;0.13631528483801572;0.2380535442522641
7;knn_basic;0.9384941675503712;0.14745874973062792;0.25487141177899675
8;knn_basic;0.9384941675503712;0.15754679264147825;0.269801497171081
9;knn_basic;0.9384941675503712;0.16639391967600792;0.28267066128622853
10;knn_basic;0.9384941675503712;0.17400824261893585;0.2935826822680023
1;knn_withmeans;0.8218451749734889;0.030444960867146095;0.058714851055367015
2;knn_withmeans;0.8218451749734889;0.05723947850256771;0.1070249356289446
3;knn_withmeans;0.8218451749734889;0.08090027736434235;0.14730066473050554
4;knn_withmeans;0.8218451749734889;0.10215985828704004;0.18172971701877372
5;knn_withmeans;0.8218451749734889;0.12111596944223849;0.21111914459638906
6;knn_withmeans;0.8218451749734889;0.13809096069150978;0.2364519586985876
7;knn_withmeans;0.8218451749734889;0.15358500157607458;0.25880497759478316
8;knn_withmeans;0.8218451749734889;0.16796629261161028;0.2789264252066647
9;knn_withmeans;0.8218451749734889;0.1810593153949296;0.2967435606687993
10;knn_withmeans;0.8218451749734889;0.19348925461221173;0.31323316865586687
1;knn_withzscore;0.8292682926829268;0.030769986568586045;0.05933822910723204
2;knn_withzscore;0.8292682926829268;0.05766428053428473;0.10783042795237294
3;knn_withzscore;0.8292682926829268;0.08107280914817339;0.14770531593066136
4;knn_withzscore;0.8292682926829268;0.10195415302446252;0.18158356641909498
5;knn_withzscore;0.8292682926829268;0.12076834737451443;0.21083262900543911
6;knn_withzscore;0.8292682926829268;0.1375635515891678;0.2359812458341914
7;knn_withzscore;0.8292682926829268;0.15333970219057277;0.2588209208545168
8;knn_withzscore;0.8292682926829268;0.16800835222215546;0.2794089285365729
9;knn_withzscore;0.8292682926829268;0.1812073686768361;0.29742334425352296
10;knn_withzscore;0.8292682926829268;0.1932803267741637;0.3134936442989053
1;knn_baseline;0.9183457051961824;0.03525998160301577;0.06791245714801282
2;knn_baseline;0.9183457051961824;0.06534446440888754;0.12200753876058128
3;knn_baseline;0.9183457051961824;0.0906723138118538;0.16504864809288058
4;knn_baseline;0.9183457051961824;0.11205923173664022;0.19974499442763533
5;knn_baseline;0.9183457051961824;0.1296740281787956;0.22725829115829677
6;knn_baseline;0.9183457051961824;0.14510640467532732;0.25061371789679704
7;knn_baseline;0.9183457051961824;0.15856896605742746;0.27044135035642847
8;knn_baseline;0.9183457051961824;0.17049294209919888;0.28759350438556913
9;knn_baseline;0.9183457051961824;0.18095183285904878;0.30233186703477505
10;knn_baseline;0.9183457051961824;0.19020527566731626;0.3151396751797098
1;knn_basic;0.9480381760339343;0.03553100251182428;0.06849492145284809
2;knn_basic;0.9480381760339343;0.0644962399240261;0.12077593945440647
3;knn_basic;0.9480381760339343;0.0876194895070012;0.16041327898414237
4;knn_basic;0.9480381760339343;0.10708241050007196;0.19242959417422628
5;knn_basic;0.9480381760339343;0.12296567791903383;0.21769512141131167
6;knn_basic;0.9480381760339343;0.13532369544655407;0.23684058444848696
7;knn_basic;0.9480381760339343;0.14606084963399954;0.2531238182804316
8;knn_basic;0.9480381760339343;0.15573444146933424;0.26752284572925444
9;knn_basic;0.9480381760339343;0.16439865971921236;0.28020684050273664
